Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
91,Zaria,Jarman,Michigan State SJ,Michigan State,MI,115.7,57.9,173.6,2.83,173.73,16.26
92,Storm,Lasseter,UTD LM,UTD,TX,115.7,57.8,173.5,3.5,173.96,9.89
93,Rahul,Penumetcha,UTD KP,UTD,TX,115.7,57.8,173.4,3.33,173.34,38.24
94,Grey,Parfenoff,Grey Parfenoff,Iowa,IA,115.6,57.8,173.3,3.2,173.29,62.67
95,Adhitya,Ravikumar,Emory PR,Emory,GA,115.6,57.6,173.8,2.67,173.26,6.28
96,Mitchell,Scott,Michigan State SJ,Michigan State,MI,115.5,58,173.2,2.83,173.35,30.73
97,Guy,Bloom,Michigan SB,Michigan,MI,115.5,57.8,173.6,2.33,173.18,9.26
98,Eli,Leadham,Wake Forest LG,Wake Forest,NC,115.5,57.8,173.3,2.33,173.39,89.29
99,Omar,Darwish,Baylor HD,Baylor,TX,115.5,57.8,173.1,3,173.9,89.82
100,Lizzie,Place,Lizzie Place,Harvard,MA,115.5,57.8,173.1,2.67,173.31,63.74
101,Thais (TC),Perez,Wake Forest PE,Wake Forest,NC,115.5,57.7,173.4,3.33,173.28,87.89
102,Aaron,Kim,Emory LK,Emory,GA,115.5,57.7,173.3,3.67,173.06,74.79
103,Annabelle,Niblett,Dartmouth NB,Dartmouth,NH,115.5,57.6,173.6,3.17,172.78,35.25
104,Lawson,Hudson,Baylor HD,Baylor,TX,115.4,57.8,172.9,3,173.36,62.32
105,Ivan,Ziabkin,NYU ZM,NYU,NY,115.4,57.7,173.2,3.17,173.23,82.22
106,Michael,Swidecki,Wyoming SW,Wyoming,WY,115.4,57.7,173.2,2.83,174.04,49.07
107,Ryan,Davis,Minnesota DP,Minnesota,MN,115.4,57.6,173.7,3.5,174.64,83.28
108,Shreeram,Modi,NYU ZM,NYU,NY,115.4,57.6,173.3,3.17,173.48,29.05
109,Jeremy,Santora,Binghamton SC,Binghamton,NY,115.4,57.6,173.2,2.83,173.76,82.31
110,Jay,Fuchs,Austin Davis,George Mason,VA,115.33,57.8,172.44,3.6,171.78,48.21
111,Joseph-Charles,D'Antuono,UTD/Utah DS,UTD,TX,115.33,57.6,173.16,2.8,172.9,49.76
112,Clare,Bradley,Southern California OB,Southern California,CA,115.33,57.6,172.68,2.6,172.43,22.34
113,Liz,Elliott,Wake Forest PE,Wake Forest,NC,115.3,57.7,173,3.33,172.75,28.27
114,Matthew,Conway,James Madison PC,James Madison,VA,115.3,57.6,173.2,3.33,172.75,14.74
115,Jean-Luc,Willson,Wyoming SW,Wyoming,WY,115.3,57.6,173,2.83,173.59,51.94
116,Dana,Agbede,Northwestern AR,Northwestern,IL,115.3,57.6,172.9,2.67,173.35,27.28
117,TJ,Riggs,Samford BR,Samford,AL,115.2,57.7,172.6,3,172.12,75.18
118,Easton,Logback,Easton Logback,Kansas,KS,115.2,57.7,172.4,2.5,172.47,46.47
119,Dhruv,Channa,Southern California CM,Southern California,CA,115.2,57.6,172.9,2.83,172.72,59.58
120,Layla,Hijjawi,Lizzie Place,Harvard,MA,115.2,57.6,172.9,2.67,173.09,74.25
121,Grace,Blackwell,Samford BR,Samford,AL,115.2,57.6,172.8,3,172.65,53.29
122,Jack,Herzer,Minnesota MH,Minnesota,MN,115.2,57.6,172.8,3,172.37,2.82
123,Michela,Short,Liberty HS,Liberty,VA,115.2,57.6,172.8,2.83,172.59,44.87
124,Miguel,Molina Chavez,Wichita State HM,Wichita State,KS,115.2,57.6,172.8,2.83,172.57,94.88
125,Preston,Shaw,Wake Forest SC,Wake Forest,NC,115.2,57.6,172.7,2.67,172.92,65.76
126,Kalil,Bennett,Emory OB,Emory,GA,115.2,57.6,172.7,2.17,172.28,2.54
127,Jeremiah,Rimpson,Kentucky RS,Kentucky,KY,115.2,57.2,172.8,4,173.52,44.52
128,Eric,Pelletier,James Madison PC,James Madison,VA,115.1,57.6,172.8,3.33,172.33,68.31
