Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
51,Elizabeth,Elliott,Wake Forest EP,Wake Forest,NC,116.40,58.30,174.30,3.83,174.64,11.08,"W28.9,W29.4,L28.5,W29.2,W29.1,L29.2"
52,Ben,Sayers,Georgetown CS,Georgetown,DC,116.40,58.20,174.70,2.83,175.56,27.86,"W29,L29.3,W29.2,L29,W29.2,W29"
53,Alex,Mojica,Wake Forest BM,Wake Forest,NC,116.40,58.20,174.60,3.50,175.21,41.05,"W28.9,W29.1,L29.2,L29.3,W29.1,L29"
54,Clare,Bradley,Southern California BrRe,Southern California,CA,116.40,58.20,174.50,2.50,174.04,33.97,"L28.8,L29,W29.2,W29.3,W29.3,L28.9"
55,Agastya,Sridharan,Harvard DS,Harvard,MA,116.40,58.10,174.90,3.00,174.58,30.62,"W29,W29.3,L29.5,L29,L29.1,W29"
56,Gene,Bressler,Wake Forest BM,Wake Forest,NC,116.30,58.20,174.40,3.50,174.58,8.63,"W28.8,W29,L29.3,L29.2,W29.2,L28.9"
57,Sabarish,Ravi,UTD HR,UTD,TX,116.30,58.20,174.20,3.50,174.15,31.74,"W29,W29.1,L29.1,L29.1,W29.1,L28.8"
58,Lucas,Lobo,Emory LY,Emory,GA,116.30,58.10,174.50,4.00,175.37,99.57,"W28.9,W28.8,W29.1,W29,L29.4,W29.3"
59,Roy,Rinehart,James Madison BR,James Madison,VA,116.30,58.10,174.50,3.33,174.38,8.95,"W29.4,W29.2,L28.8,L28.9,W28.9,L29.3"
60,Jack,Young,Emory GY,Emory,GA,116.30,58.10,174.40,3.17,174.95,77.71,"W29.1,L29.3,W29,W29.2,L29,W28.8"
61,Nine,Abad,Houston AK,Houston,TX,116.20,58.20,174.30,3.83,173.92,15.35,"W29.1,W28.8,L29.3,W28.9,L29.1,W29.1"
62,Noah,Reed,George Mason WR,George Mason,VA,116.20,58.20,174.20,3.00,174.14,50.97,"W29.2,L28.8,W29,W28.8,L29.2,W29.2"
63,Niranjan,Deshpande,Harvard DS,Harvard,MA,116.20,58.10,174.30,3.00,173.68,95.86,"W29.1,W29.2,L29.3,L28.9,L29,W28.8"
64,Sophia,Dal Pra,West Georgia DK,West Georgia,GA,116.20,58.10,174.10,3.17,174.33,63.33,"W28.9,W29,W29.2,L28.7,L29.2,W29.1"
65,Thais (TC),Perez,Wake Forest EP,Wake Forest,NC,116.10,58.20,174.00,3.83,173.59,16.65,"W28.6,W29.1,L28.8,W29.1,W29.3,L29.1"
66,Lorilei,Lassen,Baylor LC,Baylor,TX,116.10,58.10,174.40,3.50,174.58,76.65,"L29,W29.1,W29.1,W29.5,W28.8,L28.9"
67,Jeremiah,Rimpson,Kentucky RS,Kentucky,KY,116.10,58.10,174.10,3.50,174.62,70.75,"L28.9,W28.8,W29.4,W29.2,L29.2,L28.6"
68,Regan,Slish,Kentucky GS,Kentucky,KY,116.10,58.10,173.60,2.50,173.92,87.33,"L29.4,L28.9,W29,W28.1,W29.1,W29.1"
69,Ben,Saudek,Michigan BS,Michigan,MI,116.10,58.00,174.10,3.00,174.24,12.27,"L29.4,L28.8,W28.6,W29.1,L29.3,W28.9"
70,Ariel,Gabay,Kentucky GS,Kentucky,KY,116.10,58.00,174.10,2.50,174.39,23.02,"L29,L29,W29.1,W28.6,W29,W29.4"
71,Owen,Williams,Kansas WW,Kansas,KS,116.00,58.10,174.50,3.67,174.99,3.48,"W28.8,W29,W29.1,L28.8,L29.1,W29.7"
